rank,ticker,date,close,benchmark_close,has_benchmark_context,lookback_period,data_rows,last_updated,daily_return,rolling_7d_return,rolling_14d_volatility,volume_zscore,price_gap,rsi_14,distance_from_20dma,distance_from_50dma,return_zscore_20,volatility_zscore_60,volume_ratio_20,atr_14_percent,intraday_range,close_position_in_range,drawdown_from_60d_high,rsi_change_3d,excess_return,relative_7d_return,excess_return_zscore_20,benchmark_return,benchmark_7d_return,raw_anomaly_score,isolation_score,robust_feature_score,relative_market_score,final_anomaly_score,anomaly_score,is_anomaly,risk_level,signal_direction,confidence_level,primary_driver,driver_details,top_feature_drivers,reason
1,RELIANCE.NS,2026-05-05,1463.5999755859375,24032.80078125,True,1y,250,2026-05-05T19:00:58,0.0003417401464993475,0.10227437999995947,0.21862423837759254,0.17472949185480363,-0.00211877222176566,78.03853098334662,0.06760420830568648,0.05771618777430576,-0.2077020407971326,-0.7453494989965346,1.0761513328199341,0.019467660618551152,0.01598799180404095,0.5811949314789794,-0.006651315776937228,8.990874589177949,0.003928079600719503,0.10807629558228171,0.18007249741871356,-0.0035863394542201554,-0.005801915582322237,-0.009869173733012437,90.9090909090909,67.72688461955273,94.94949494949495,85.71959994276696,85.71959994276696,True,High,Bullish,High,Market-relative move,"Market-relative move; isolation=90.9, robust=67.7, market-relative=94.9",Relative 7D return (5.2z); 7D return (3.5z); Distance from 20DMA (2.8z); Distance from 50DMA (2.0z); Drawdown from 60D high (2.0z),Momentum breakout + Market-relative strength
2,YESBANK.NS,2026-05-05,20.479999542236328,24032.80078125,True,1y,250,2026-05-05T19:00:58,0.026052128337430203,0.032258033504347416,0.22374857477317586,0.8475413524240335,0.0010020269880288066,68.54302586288566,0.0408883856093849,0.0499763928301129,1.2419731589564362,-0.4715107729788789,1.629957845677629,0.023018975059260722,0.05761720368900605,0.6101687518184463,-0.05404157491497319,3.391524723101412,0.029638467791650358,0.03805994908666965,2.4041487557335612,-0.0035863394542201554,-0.005801915582322237,-0.0770222505386785,68.68686868686868,65.8734176188789,92.92929292929293,71.61986955623487,71.61986955623487,False,Moderate,Bullish,Medium,Volatility expansion,"Volatility expansion; isolation=68.7, robust=65.9, market-relative=92.9",Intraday range (4.8z); Excess return (3.0z); Excess return z-score (2.7z); Volume ratio (2.2z); Daily return (2.1z),Market-relative strength
3,COALINDIA.NS,2026-05-05,472.6000061035156,24032.80078125,True,1y,250,2026-05-05T19:00:58,-0.0153141075457357,0.0364035221568324,0.21006191758340267,-0.8115358174798496,0.0,77.21894599698345,0.03943520539000556,0.05387332049829463,-1.07303579298063,-1.7406030778768031,0.5403953772570815,0.021401371560420056,0.018620371729409693,0.15909043619389787,-0.037964364165871456,10.220802846938966,-0.011727768091515545,0.04220543773915464,-0.48184213660628594,-0.0035863394542201554,-0.005801915582322237,-0.045875121429754306,78.28282828282829,46.202748425550574,50.0,66.02038407608461,66.02038407608461,False,Moderate,Bullish,Low,Momentum shift,"Momentum shift; isolation=78.3, robust=46.2, market-relative=50.0",RSI 14 (2.2z); Distance from 20DMA (1.7z); Daily return (1.7z); Volatility z-score (1.6z); Distance from 50DMA (1.3z),Market-relative strength
4,ADANIPOWER.NS,2026-05-05,229.9600067138672,24032.80078125,True,1y,250,2026-05-05T19:00:58,0.011702611642744554,0.08013157964521911,0.35197141819969874,-0.7749059547368251,0.0029476381871968087,88.66544112892161,0.13687939731068566,0.3601467220605865,-0.31686791347146376,-0.48890508267454874,0.6624256604044523,0.037391586999802544,0.03087489405738661,0.3746488862144185,-0.018941925333743725,-0.5365771086597846,0.015288951096964709,0.08593349522754135,0.021067847913446146,-0.0035863394542201554,-0.005801915582322237,-0.09008418109113453,68.18181818181817,54.21002528992657,68.68686868686868,64.76462753460284,64.76462753460284,False,Moderate,Bullish,Medium,Trend distance,"Trend distance; isolation=68.2, robust=54.2, market-relative=68.7",Distance from 50DMA (4.0z); Distance from 20DMA (2.1z); RSI 14 (1.7z); Relative 7D return (1.5z); 7D return (1.4z),Momentum breakout + Price far from moving average + Market-relative strength
5,IRFC.NS,2026-05-05,105.81999969482422,24032.80078125,True,1y,250,2026-05-05T19:00:58,0.01350441512556455,0.018283309847542784,0.18826688556744509,0.3605236147521567,0.0,64.37586907404524,0.02978814577743938,0.05200997545365005,0.3750876191410357,-1.4314399414246533,1.1881805850757983,0.02249102749973728,0.024948019252144855,0.689393983180649,-0.0932304844724493,-1.0336063314510398,0.017090754579784706,0.02408522542986502,1.2093849370946905,-0.0035863394542201554,-0.005801915582322237,-0.08288017429243083,62.121212121212125,50.50711842461304,72.22222222222221,60.73284021221386,60.73284021221386,False,Moderate,Bullish,Medium,Market-relative move,"Market-relative move; isolation=62.1, robust=50.5, market-relative=72.2",Excess return (2.2z); Distance from 20DMA (2.0z); Distance from 50DMA (1.9z); RSI 14 (1.8z); Excess return z-score (1.8z),Multi-factor anomaly
6,INFY.NS,2026-05-05,1178.0999755859375,24032.80078125,True,1y,250,2026-05-05T19:00:58,0.008301909422451015,0.020353369562539747,0.36411186621527797,-0.7322721125985887,0.0009414374896894781,26.126114567376717,-0.05824705004956987,-0.07460939401454669,0.6079118392941409,0.9151578259082882,0.5758532206786724,0.02642269379626512,0.02130547161199441,0.717132171637835,-0.25667237211288385,-0.9406432471234893,0.01188824887667117,0.026155285144861984,1.0306848862650682,-0.0035863394542201554,-0.005801915582322237,-0.06283770165671027,63.63636363636363,47.4647563824056,53.03030303030303,58.00255273196503,58.00255273196503,False,Normal,Bearish,Low,Trend distance,"Trend distance; isolation=63.6, robust=47.5, market-relative=53.0",Drawdown from 60D high (2.2z); ATR 14 percent (2.2z); 14D volatility (1.7z); Distance from 20DMA (1.4z); Volatility z-score (1.3z),Drawdown pressure
7,SUZLON.NS,2026-05-05,54.849998474121094,24032.80078125,True,1y,250,2026-05-05T19:00:58,-0.0020014667427940003,0.017436442763301363,0.3814094165089706,-0.7525200474265833,-0.00018191997270298096,71.66665558863232,0.06160602446477781,0.19823134608637805,-0.6380097924285999,0.047766392393886685,0.5700331056825747,0.03133220240646152,0.026253394106991516,0.2013870676341172,-0.0552876821089191,-11.004625317390179,0.0015848727114261552,0.0232383583456236,-0.49034179074605605,-0.0035863394542201554,-0.005801915582322237,-0.06936959766847489,67.67676767676768,56.48780062815217,9.090909090909092,56.09164712673502,56.09164712673502,False,Normal,Bullish,Low,Trend distance,"Trend distance; isolation=67.7, robust=56.5, market-relative=9.1",Distance from 50DMA (5.3z); Drawdown from 60D high (1.8z); Distance from 20DMA (1.7z); RSI 14 (1.5z); 14D volatility (1.0z),Price far from moving average
8,ONGC.NS,2026-05-05,289.95001220703125,24032.80078125,True,1y,249,2026-05-05T19:00:58,-0.010071634520059769,0.012925806836790343,0.277297957891304,-0.7676708689638384,0.004950536829112082,53.01510697257864,0.0062118776499278106,0.03757755912681504,-0.7007398397350659,-0.1950458032438247,0.5591080261568323,0.02174019307936266,0.030694925062219228,0.33146227304678794,-0.057073131034044766,-19.961758766859496,-0.006485295065839614,0.01872772241911258,-0.19934705183369456,-0.0035863394542201554,-0.005801915582322237,-0.09204736974707883,59.09090909090909,48.65788619175009,20.2020202020202,50.64932003278601,50.64932003278601,False,Normal,Mixed,Low,Volatility expansion,"Volatility expansion; isolation=59.1, robust=48.7, market-relative=20.2",14D volatility (2.7z); Price gap (1.9z); RSI 3D change (1.8z); Intraday range (1.7z); Daily return (1.0z),Multi-factor anomaly
9,HDFCBANK.NS,2026-05-05,772.2999877929688,24032.80078125,True,1y,250,2026-05-05T19:00:58,-0.009109618166141864,-0.015990301565084963,0.178926974630408,-0.025718466273041894,-0.006415190971746377,32.163184943901555,-0.023566913534403433,-0.05602031566840382,-0.5760897076202331,-0.7705189950144296,0.9895477052915738,0.019482624049093848,0.0170918197794531,0.6515126994622438,-0.19316759512751736,-8.13532251878501,-0.005523278711921709,-0.010188385982762727,-0.4493896088689719,-0.0035863394542201554,-0.005801915582322237,-0.10952873259285417,56.060606060606055,46.21405035805643,27.77777777777778,49.356542892544404,49.356542892544404,False,Normal,Mixed,Low,Trend distance,"Trend distance; isolation=56.1, robust=46.2, market-relative=27.8",Drawdown from 60D high (3.2z); ATR 14 percent (1.8z); 14D volatility (1.5z); Distance from 20DMA (1.2z); Daily return (0.9z),Drawdown pressure
10,RVNL.NS,2026-05-05,300.45001220703125,24032.80078125,True,1y,249,2026-05-05T19:00:58,0.012809770398555465,-0.022004425103587022,0.35332682856585274,-0.32845376285130706,-0.0021911138036671916,69.35962191541583,0.03136493488849834,0.04742399543527798,0.2922305664384543,-0.5453122561121811,0.7395188473529384,0.03345694416314395,0.030454296970303944,0.5464484519406191,-0.1137167781503503,0.3754676658274718,0.01639610985277562,-0.016202509521264785,0.7378880331099645,-0.0035863394542201554,-0.005801915582322237,-0.11165576398373461,33.83838383838384,40.30385279591866,58.58585858585859,39.16687228988876,39.16687228988876,False,Normal,Bullish,Low,Momentum shift,"Momentum shift; isolation=33.8, robust=40.3, market-relative=58.6",RSI 14 (1.6z); Excess return (1.6z); Distance from 20DMA (1.5z); Distance from 50DMA (1.4z); Daily return (1.1z),Multi-factor anomaly
